127.0.0.1 - - [18/Nov/2023:18:45:57 +0630] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:45:58 +0630] "GET /gw/ HTTP/1.1" 200 5163
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:45:58 +0630] "GET /gw/img_avatar2.png HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:45:58 +0630] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:05 +0630] "POST /gw/main.jsp HTTP/1.1" 200 6677
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:05 +0630] "GET /gw/img/fav.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:13 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:14 +0630] "GET /gw/animal/img/fav.jpg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:32 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:34 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:34 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:35 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:35 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:36 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:36 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:36 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:37 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:37 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:46:55 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 500 3884
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:48:34 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 500 3884
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:48:36 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 500 3884
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:48:37 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 500 3884
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:48:38 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 500 3884
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:48:38 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 500 3884
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:49:09 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:49:09 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53101
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:49:10 +0630] "GET /gw/animal/update.jsp?1id=1 HTTP/1.1" 500 2528
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:50:24 +0630] "GET /gw/animal/index.jsp HTTP/1.1" 200 53055
0:0:0:0:0:0:0:1 - - [18/Nov/2023:18:50:27 +0630] "GET /gw/animal/update.jsp?id=1 HTTP/1.1" 200 5872
